[2023-01-10 23:13:46,371] 19 root INFO This line will create the folder name as artifact in current directory with proper timestamp and date
[2023-01-10 23:13:46,371] 16 root INFO >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Data Ingestion <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
[2023-01-10 23:13:46,372] 27 root INFO Exporting collection data as pandas dataframe
[2023-01-10 23:13:46,372] 21 root INFO Reading data from database: aps and collection: sensor
[2023-01-10 23:13:50,013] 23 root INFO Found columns: Index(['_id', 'class', 'aa_000', 'ab_000', 'ac_000', 'ad_000', 'ae_000',
       'af_000', 'ag_000', 'ag_001',
       ...
       'ee_002', 'ee_003', 'ee_004', 'ee_005', 'ee_006', 'ee_007', 'ee_008',
       'ee_009', 'ef_000', 'eg_000'],
      dtype='object', length=172)
[2023-01-10 23:13:50,014] 25 root INFO Dropping column: _id 
[2023-01-10 23:13:50,300] 27 root INFO Row and columns in df: (36188, 171)
[2023-01-10 23:13:50,300] 33 root INFO Save data in feature store
[2023-01-10 23:13:50,914] 39 root INFO Create feature store folder if not available
[2023-01-10 23:13:50,914] 43 root INFO Save df to feature store folder
[2023-01-10 23:13:53,523] 48 root INFO split dataset into train and test set
[2023-01-10 23:13:54,182] 52 root INFO create dataset directory folder if not available
[2023-01-10 23:13:54,182] 57 root INFO Save df to feature store folder
[2023-01-10 23:13:56,542] 69 root INFO Data ingestion artifact: DataIngestionArtifact(feature_store_file_path='/config/workspace/artifact/01102023__231346/data_ingetion/feature_store/sensor.csv', train_file_path='/config/workspace/artifact/01102023__231346/data_ingetion/dataset/train.csv', test_file_path='/config/workspace/artifact/01102023__231346/data_ingetion/dataset/test.csv')
[2023-01-10 23:13:57,003] 18 root INFO >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Data Validation <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
[2023-01-10 23:14:01,602] 115 root INFO Is all required columns present in train df
[2023-01-10 23:14:09,116] 125 root INFO Is all required columns present in test df
[2023-01-10 23:14:09,117] 129 root INFO As all column are available in train df hence detecting data drift
[2023-01-10 23:14:09,117] 79 root INFO Hypothesisclass:object, object
[2023-01-10 23:14:09,255] 79 root INFO Hypothesisaa_000:float64, float64
[2023-01-10 23:14:09,266] 79 root INFO Hypothesisac_000:float64, float64
[2023-01-10 23:14:09,306] 79 root INFO Hypothesisad_000:float64, float64
[2023-01-10 23:14:09,314] 79 root INFO Hypothesisae_000:float64, float64
[2023-01-10 23:14:09,350] 79 root INFO Hypothesisaf_000:float64, float64
[2023-01-10 23:14:09,387] 79 root INFO Hypothesisag_000:float64, float64
[2023-01-10 23:14:09,422] 79 root INFO Hypothesisag_001:float64, float64
[2023-01-10 23:14:09,458] 79 root INFO Hypothesisag_002:float64, float64
[2023-01-10 23:14:09,494] 79 root INFO Hypothesisag_003:float64, float64
[2023-01-10 23:14:09,500] 79 root INFO Hypothesisag_004:float64, float64
[2023-01-10 23:14:09,510] 79 root INFO Hypothesisag_005:float64, float64
